image,counterpart,current_ink,target_ink,top_rank,bottom_rank,any_lt50,any_lt100,any_lt300
220_1.png,220_2.png,没有墨迹,没有墨迹,1106,481,N,N,N
220_2.png,220_1.png,没有墨迹,没有墨迹,353,309,N,N,N
221_1.png,221_2.png,没有墨迹,没有墨迹,,270,N,N,Y
221_2.png,221_1.png,没有墨迹,没有墨迹,170,1066,N,N,Y
224_1.png,224_2.png,没有墨迹,没有墨迹,,568,N,N,N
224_2.png,224_1.png,没有墨迹,没有墨迹,1063,,N,N,N
225_1.png,225_2.png,没有墨迹,没有墨迹,15,437,Y,Y,Y
225_2.png,225_1.png,没有墨迹,没有墨迹,471,8,Y,Y,Y
226_1.png,226_2.png,没有墨迹,没有墨迹,109,443,N,N,Y
226_2.png,226_1.png,没有墨迹,没有墨迹,255,,N,N,Y
232_1.png,232_2.png,没有墨迹,没有墨迹,65,700,N,Y,Y
232_2.png,232_1.png,没有墨迹,没有墨迹,484,160,N,N,Y
234_1.png,234_2.png,没有墨迹,下方有墨迹,478,323,N,N,N
234_2.png,234_1.png,下方有墨迹,没有墨迹,204,219,N,N,Y
235_1.png,235_2.png,下方有墨迹,上方有墨迹,523,1149,N,N,N
235_2.png,235_1.png,上方有墨迹,下方有墨迹,230,1135,N,N,Y
236_1.png,236_2.png,下方有墨迹,没有墨迹,126,67,N,Y,Y
236_2.png,236_1.png,没有墨迹,下方有墨迹,267,8,Y,Y,Y
238_1.png,238_2.png,没有墨迹,没有墨迹,726,109,N,N,Y
238_2.png,238_1.png,没有墨迹,没有墨迹,976,475,N,N,N
240_1.png,240_2.png,没有墨迹,下方有墨迹,576,751,N,N,N
240_2.png,240_1.png,下方有墨迹,没有墨迹,215,387,N,N,Y
241_1.png,241_2.png,下方有墨迹,上方有墨迹,464,379,N,N,N
241_2.png,241_1.png,上方有墨迹,下方有墨迹,1084,423,N,N,N
246_1.png,246_2.png,上方有墨迹,没有墨迹,419,136,N,N,Y
246_2.png,246_1.png,没有墨迹,上方有墨迹,353,787,N,N,N
247_1.png,247_2.png,没有墨迹,没有墨迹,779,969,N,N,N
247_2.png,247_1.png,没有墨迹,没有墨迹,190,1037,N,N,Y
24_1.png,24_2.png,没有墨迹,没有墨迹,347,158,N,N,Y
24_2.png,24_1.png,没有墨迹,没有墨迹,245,279,N,N,Y
251_1.png,251_2.png,没有墨迹,没有墨迹,,746,N,N,N
251_2.png,251_1.png,没有墨迹,没有墨迹,,,N,N,N
254_1.png,254_2.png,"上方有墨迹,下方有墨迹",上方有墨迹,500,172,N,N,Y
254_2.png,254_1.png,上方有墨迹,"上方有墨迹,下方有墨迹",193,930,N,N,Y
255_1.png,255_2.png,没有墨迹,没有墨迹,330,,N,N,N
255_2.png,255_1.png,没有墨迹,没有墨迹,622,313,N,N,N
256_1.png,256_2.png,没有墨迹,下方有墨迹,637,2,Y,Y,Y
256_2.png,256_1.png,下方有墨迹,没有墨迹,2,339,Y,Y,Y
258_1.png,258_2.png,下方有墨迹,"上方有墨迹,下方有墨迹",492,2,Y,Y,Y
258_2.png,258_1.png,"上方有墨迹,下方有墨迹",下方有墨迹,7,903,Y,Y,Y
259_1.png,259_2.png,上方有墨迹,"上方有墨迹,下方有墨迹",10,79,Y,Y,Y
259_2.png,259_1.png,"上方有墨迹,下方有墨迹",上方有墨迹,949,3,Y,Y,Y
260_1.png,260_2.png,下方有墨迹,上方有墨迹,405,5,Y,Y,Y
260_2.png,260_1.png,上方有墨迹,下方有墨迹,118,628,N,N,Y
262_1.png,262_2.png,下方有墨迹,没有墨迹,145,173,N,N,Y
262_2.png,262_1.png,没有墨迹,下方有墨迹,559,142,N,N,Y
264_1.png,264_2.png,没有墨迹,没有墨迹,473,1075,N,N,N
264_2.png,264_1.png,没有墨迹,没有墨迹,411,902,N,N,N
265_1.png,265_2.png,下方有墨迹,上方有墨迹,659,1168,N,N,N
265_2.png,265_1.png,上方有墨迹,下方有墨迹,,20,Y,Y,Y
266_1.png,266_2.png,下方有墨迹,上方有墨迹,472,231,N,N,Y
266_2.png,266_1.png,上方有墨迹,下方有墨迹,482,202,N,N,Y
272_1.png,272_2.png,上方有墨迹,"上方有墨迹,下方有墨迹",31,866,Y,Y,Y
272_2.png,272_1.png,"上方有墨迹,下方有墨迹",上方有墨迹,535,4,Y,Y,Y
274_1.png,274_2.png,没有墨迹,没有墨迹,44,,Y,Y,Y
274_2.png,274_1.png,没有墨迹,没有墨迹,,118,N,N,Y
27_1.png,27_2.png,下方有墨迹,上方有墨迹,114,137,N,N,Y
27_2.png,27_1.png,上方有墨迹,下方有墨迹,49,699,Y,Y,Y
38_1.png,38_2.png,没有墨迹,没有墨迹,169,157,N,N,Y
38_2.png,38_1.png,没有墨迹,没有墨迹,382,90,N,Y,Y
39_1.png,39_2.png,没有墨迹,没有墨迹,166,998,N,N,Y
39_2.png,39_1.png,没有墨迹,没有墨迹,126,,N,N,Y
41_1.png,41_2.png,没有墨迹,没有墨迹,399,109,N,N,Y
41_2.png,41_1.png,没有墨迹,没有墨迹,190,221,N,N,Y
43_1.png,43_2.png,没有墨迹,没有墨迹,152,1188,N,N,Y
43_2.png,43_1.png,没有墨迹,没有墨迹,158,,N,N,Y
46_1.png,46_2.png,没有墨迹,没有墨迹,552,37,Y,Y,Y
46_2.png,46_1.png,没有墨迹,没有墨迹,67,768,N,Y,Y
4_1.png,4_2.png,没有墨迹,没有墨迹,21,84,Y,Y,Y
4_2.png,4_1.png,没有墨迹,没有墨迹,92,201,N,Y,Y
51_1.png,51_2.png,没有墨迹,没有墨迹,27,9,Y,Y,Y
51_2.png,51_1.png,没有墨迹,没有墨迹,1,291,Y,Y,Y
52_1.png,52_2.png,没有墨迹,没有墨迹,572,,N,N,N
52_2.png,52_1.png,没有墨迹,没有墨迹,180,956,N,N,Y
53_1.png,53_2.png,没有墨迹,没有墨迹,3,172,Y,Y,Y
53_2.png,53_1.png,没有墨迹,没有墨迹,61,1,Y,Y,Y
55_1.png,55_2.png,没有墨迹,没有墨迹,82,403,N,Y,Y
55_2.png,55_1.png,没有墨迹,没有墨迹,68,1196,N,Y,Y
56_1.png,56_2.png,没有墨迹,没有墨迹,660,9,Y,Y,Y
56_2.png,56_1.png,没有墨迹,没有墨迹,8,,Y,Y,Y
57_1.png,57_2.png,没有墨迹,没有墨迹,153,1134,N,N,Y
57_2.png,57_1.png,没有墨迹,没有墨迹,1135,12,Y,Y,Y
5_1.png,5_2.png,没有墨迹,没有墨迹,1028,209,N,N,Y
5_2.png,5_1.png,没有墨迹,没有墨迹,483,628,N,N,N
69_1.png,69_2.png,没有墨迹,没有墨迹,451,1,Y,Y,Y
69_2.png,69_1.png,没有墨迹,没有墨迹,60,91,N,Y,Y
70_1.png,70_2.png,没有墨迹,没有墨迹,926,1031,N,N,N
70_2.png,70_1.png,没有墨迹,没有墨迹,1027,122,N,N,Y
74_1.png,74_2.png,没有墨迹,没有墨迹,1,888,Y,Y,Y
74_2.png,74_1.png,没有墨迹,没有墨迹,674,1,Y,Y,Y
79_1.png,79_2.png,没有墨迹,没有墨迹,733,,N,N,N
79_2.png,79_1.png,没有墨迹,没有墨迹,377,775,N,N,N
90_1.png,90_2.png,没有墨迹,没有墨迹,,391,N,N,N
90_2.png,90_1.png,没有墨迹,没有墨迹,979,,N,N,N
